,source,target
1397,4819m,3462f
1398,481m,462f
1399,481m,5507f
1400,4820m,218f
1401,4821m,4310f
1402,4824m,4693f
1403,4826m,4830f
1404,4832m,2578f
1405,4836m,4571f
1406,4840m,4547f
1407,4844m,469f
1408,4850m,4214f
1409,4852m,3531f
1410,4855m,1050f
1411,4857m,5358f
1412,4859m,6332f
1413,4860m,2609f
1414,4862m,4175f
1415,4864m,3443f
1416,4867m,1768f
1417,4868m,934f
1418,4871m,1384f
1419,4873m,5335f
1420,4874m,2769f
1421,4879m,4040f
1422,4880m,696f
1423,4896m,4272f
1424,4897m,4639f
1425,4902m,452f
1426,4903m,1110f
1427,4905m,3937f
1428,4908m,4270f
1429,490m,3038f
1430,4911m,1247f
1431,4915m,1135f
1432,4916m,3747f
1433,4919m,4119f
1434,4922m,5310f
1435,4929m,3954f
1436,4929m,1586f
1437,4935m,2925f
1438,4938m,3503f
1439,4941m,4028f
1440,494m,2741f
1441,4951m,4093f
1442,4955m,6553f
1443,4959m,558f
1444,495m,4293f
1445,4960m,1434f
1446,4964m,4089f
1447,4966m,4597f
1448,4967m,1465f
1449,4968m,3808f
1450,496m,687f
1451,496m,4793f
1452,4977m,2765f
1453,4978m,3380f
1454,497m,2121f
1455,4984m,1462f
1456,4986m,2299f
1457,498m,94f
1458,4991m,4131f
1459,4998m,1176f
1460,499m,730f
1461,49m,5943f
1462,5022m,2406f
1463,5023m,5748f
1464,5024m,1161f
1465,5029m,4778f
1466,502m,3272f
1467,5032m,5487f
1468,5033m,3267f
1469,5034m,5042f
1470,5035m,7121f
1471,5037m,2198f
1472,5037m,1651f
1473,5040m,5493f
1474,5043m,4822f
1475,5046m,5505f
1476,5049m,4782f
1477,5054m,5048f
1478,5060m,7500f
1479,5064m,5475f
1480,5069m,7401f
1481,5073m,5503f
1482,5076m,5502f
1483,5077m,7307f
1484,5078m,1510f
1485,5079m,1480f
1486,5080m,3456f
1487,5081m,1633f
1488,5082m,5647f
1489,5083m,1165f
1490,5084m,6318f
1491,5085m,3820f
1492,5086m,7403f
1493,5087m,7310f
1494,5088m,1843f
1495,5089m,3220f
1496,508m,815f
1497,5090m,1783f
1498,5091m,4273f
1499,5092m,5274f
1500,5093m,3806f
1501,5094m,205f
1502,5095m,707f
1503,5096m,6324f
1504,5097m,2592f
1505,5098m,2341f
1506,5099m,2413f
1507,509m,2949f
1508,50m,3653f
1509,5100m,3717f
1510,5101m,3620f
1511,5102m,5278f
1512,5103m,3974f
1513,5104m,4412f
1514,5105m,3311f
1515,5106m,4286f
1516,5107m,4899f
1517,5108m,3917f
1518,5109m,4335f
1519,5110m,3928f
1520,5111m,6128f
1521,5112m,146f
1522,5113m,4122f
1523,5114m,2438f
1524,5115m,2137f
1525,5116m,3591f
1526,5117m,3850f
1527,5118m,684f
1528,5119m,312f
1529,511m,1080f
1530,5120m,5302f
1531,5121m,4384f
1532,5122m,4034f
1533,5123m,320f
1534,5124m,3635f
1535,5125m,2498f
1536,5126m,6445f
1537,5127m,773f
1538,5128m,2558f
1539,5129m,2527f
1540,5130m,2476f
1541,5131m,4627f
1542,5132m,4798f
1543,5134m,4398f
1544,5135m,3285f
1545,5136m,2794f
1546,5137m,1219f
1547,5138m,5314f
1548,5139m,2103f
1549,513m,676f
1550,5140m,4189f
1551,5141m,3695f
1552,5141m,6334f
1553,5142m,4291f
1554,5143m,4540f
1555,5144m,32f
1556,5144m,2304f
1557,5145m,781f
1558,5146m,3774f
1559,5147m,1173f
1560,5148m,5332f
1561,5149m,2564f
1562,514m,6133f
1563,5150m,3030f
1564,5151m,440f
1565,5152m,650f
1566,5153m,560f
1567,5153m,1576f
1568,5154m,3065f
1569,5155m,5360f
1570,5155m,3077f
1571,5156m,833f
1572,5157m,4669f
1573,5158m,5942f
1574,5159m,182f
1575,5160m,170f
1576,5162m,777f
1577,5163m,3253f
1578,5164m,3495f
1579,5165m,3362f
1580,5166m,3525f
1581,5167m,207f
1582,5168m,4837f
1583,516m,4939f
1584,5170m,1134f
1585,5171m,670f
1586,5173m,2847f
1587,5174m,113f
1588,5175m,2864f
1589,5176m,5351f
1590,5178m,3784f
1591,5179m,938f
1592,517m,5320f
1593,5180m,1112f
1594,5181m,882f
1595,5182m,1951f
1596,5183m,1538f
1597,5184m,6741f
1598,5184m,5312f
1599,5185m,5312f
1600,5185m,2427f
1601,5188m,4791f
1602,5189m,5361f
1603,5190m,1281f
1604,5191m,4472f
1605,5192m,134f
1606,5194m,3082f
1607,5195m,5407f
1608,5195m,4474f
1609,5196m,4518f
1610,5197m,2791f
1611,5199m,2230f
1612,5200m,433f
1613,5201m,3709f
1614,5202m,6035f
1615,5203m,1772f
1616,5204m,4564f
1617,5204m,4593f
1618,5206m,2894f
1619,5207m,4220f
1620,5208m,3522f
1621,5211m,2502f
1622,5213m,946f
1623,5217m,4673f
1624,5219m,2926f
1625,5220m,2574f
1626,5221m,1274f
1627,5224m,4333f
1628,5228m,1f
1629,522m,3513f
1630,5230m,83f
1631,5234m,1478f
1632,5235m,1740f
1633,5238m,376f
1634,523m,4795f
1635,530m,5045f
1636,534m,4224f
1637,535m,2012f
1638,538m,2651f
1639,53m,345f
1640,545m,4372f
1641,5476m,5534f
1642,5478m,283f
1643,5481m,5070f
1644,5488m,5704f
1645,5489m,5744f
1646,5490m,7909f
1647,5491m,5072f
1648,5492m,3630f
1649,5494m,5675f
1650,5497m,5525f
1651,5498m,5734f
1652,54m,3936f
1653,5501m,5041f
1654,5504m,5477f
1655,5504m,5678f
1656,5506m,7589f
1657,5508m,7697f
1658,5509m,5526f
1659,5517m,1051f
1660,5519m,5941f
1661,551m,2367f
1662,5520m,7501f
1663,5522m,5750f
1664,5524m,4770f
1665,5527m,5482f
1666,5529m,5532f
1667,552m,4253f
1668,5530m,5013f
1669,5531m,5612f
1670,5536m,5720f
1671,5537m,5754f
1672,5539m,2620f
1673,5541m,5515f
1674,5542m,5486f
1675,5543m,484f
1676,5544m,775f
1677,5544m,6833f
1678,5545m,4080f
1679,5546m,3942f
1680,5547m,1079f
1681,5548m,5380f
1682,5548m,4906f
1683,5549m,965f
1684,554m,592f
1685,5550m,2156f
1686,5554m,728f
1687,555m,291f
1688,5599m,4142f
1689,5600m,5794f
1690,5602m,5031f
1691,5604m,5630f
1692,5608m,7696f
1693,5609m,5827f
1694,5610m,7788f
1695,5613m,5654f
1696,5614m,5723f
1697,5615m,5810f
1698,5619m,5696f
1699,5623m,5661f
1700,5624m,6057f
1701,5625m,5484f
1702,5626m,7594f
1703,5628m,5510f
1704,5629m,7499f
1705,5634m,5607f
1706,5637m,5725f
1707,5639m,7592f
1708,5641m,4616f
1709,5642m,5738f
1710,5643m,5925f
1711,5649m,5513f
1712,5652m,5500f
1713,5653m,5646f
1714,5655m,5746f
1715,5657m,5713f
1716,5657m,5808f
1717,5658m,5706f
1718,5659m,7591f
1719,5660m,5709f
1720,5662m,5299f
1721,5663m,785f
1722,5664m,4271f
1723,5665m,1139f
1724,5665m,1386f
1725,5666m,5681f
1726,5695m,5640f
1727,5697m,5735f
1728,5698m,6065f
1729,56m,3106f
1730,5705m,6549f
1731,5707m,5062f
1732,5711m,5635f
1733,5712m,5818f
1734,5715m,1946f
1735,5719m,5886f
1736,571m,2491f
1737,5721m,211f
1738,5722m,7789f
1739,5726m,5644f
1740,5727m,5918f
1741,5729m,5485f
1742,5731m,5632f
1743,5732m,5620f
1744,5733m,5797f
1745,5736m,5718f
1746,573m,1540f
1747,5740m,5480f
1748,5741m,5631f
1749,5742m,5968f
1750,5743m,5074f
1751,5749m,5755f
1752,5751m,5611f
1753,5752m,7794f
1754,5758m,5959f
1755,5759m,55f
1756,575m,2152f
1757,5760m,4037f
1758,5761m,2531f
1759,576m,6551f
1760,5779m,5747f
1761,5780m,5975f
1762,5781m,5878f
1763,5782m,5521f
1764,5785m,6025f
1765,5788m,5706f
1766,5789m,5814f
1767,5790m,5816f
1768,5793m,5710f
1769,5795m,5889f
1770,5796m,5617f
1771,5798m,6216f
1772,5800m,2796f
1773,5801m,5606f
1774,5805m,5535f
1775,5806m,5792f
1776,5813m,5809f
1777,5815m,5885f
1778,5817m,5656f
1779,5819m,5538f
1780,5820m,5958f
1781,5824m,5638f
1782,5828m,5516f
1783,5830m,5894f
1784,5831m,7790f
1785,5832m,5622f
1786,5834m,5812f
1787,5835m,5483f
1788,5837m,5993f
1789,5839m,5787f
1790,583m,7025f
1791,5843m,1990f
1792,5844m,2747f
1793,5845m,3047f
1794,5863m,5702f
1795,5864m,6195f
1796,5865m,5908f
1797,5867m,7908f
1798,5868m,5822f
1799,586m,5051f
1800,5873m,5896f
1801,5875m,6168f
1802,5877m,5804f
1803,5879m,5645f
1804,587m,4248f
1805,5880m,5621f
1806,5880m,6158f
1807,5890m,6014f
1808,5895m,5940f
1809,5897m,5939f
1810,58m,2061f
1811,5901m,6109f
1812,5903m,6067f
1813,5904m,3895f
1814,5906m,5905f
1815,5912m,6289f
1816,5913m,5876f
1817,5914m,6312f
1818,5916m,5866f
1819,5917m,5838f
1820,5920m,5871f
1821,5922m,6084f
1822,5927m,6190f
1823,5928m,3566f
1824,5929m,2938f
1825,5962m,5956f
1826,5963m,6309f
1827,5966m,5882f
1828,5969m,6049f
1829,596m,302f
1830,5970m,5841f
1831,5973m,6089f
1832,5976m,5954f
1833,5979m,5756f
1834,5990m,6175f
1835,5997m,6104f
1836,59m,4360f
1837,5m,3464f
1838,5m,257f
1839,6006m,6311f
1840,600m,3952f
1841,6011m,5989f
1842,6015m,5998f
1843,6016m,6101f
1844,6017m,6002f
1845,603m,510f
1846,6050m,6076f
1847,6058m,5978f
1848,6059m,6080f
1849,605m,3904f
1850,6062m,5911f
1851,6063m,6189f
1852,6074m,5981f
1853,6075m,6056f
1854,6082m,6179f
1855,6083m,5737f
1856,6085m,5872f
1857,6087m,6177f
1858,608m,4680f
1859,6090m,5833f
1860,6092m,5699f
1861,6094m,6086f
1862,6098m,5821f
1863,609m,4229f
1864,6103m,6233f
1865,6106m,6440f
1866,6107m,5778f
1867,610m,5318f
1868,6111m,5957f
1869,6113m,5964f
1870,6115m,5938f
1871,6118m,5892f
1872,6120m,5676f
1873,6121m,44f
1874,6139m,6172f
1875,6144m,6180f
1876,6147m,6077f
1877,6148m,6163f
1878,6149m,6066f
1879,6151m,6184f
1880,6156m,7691f
1881,615m,1707f
1882,6162m,6284f
1883,6164m,6256f
1884,616m,4526f
1885,6173m,6114f
1886,6176m,5907f
1887,6178m,6362f
1888,6187m,6150f
1889,6192m,6152f
1890,6194m,5840f
1891,6206m,649f
1892,6206m,3913f
1893,6207m,2663f
1894,6208m,717f
1895,620m,1330f
1896,6210m,762f
1897,6211m,2678f
1898,6237m,6183f
1899,6241m,6254f
1900,6261m,5960f
1901,6265m,6112f
1902,6267m,6688f
1903,6268m,6441f
1904,6274m,6286f
1905,6283m,6161f
1906,628m,2501f
1907,6291m,5881f
1908,6293m,5802f
1909,6294m,7910f
1910,6295m,6316f
1911,6296m,3264f
1912,6297m,1696f
1913,6298m,5282f
1914,6299m,1192f
1915,629m,2755f
1916,6300m,6331f
1917,6301m,4210f
1918,6303m,3541f
1919,6304m,2459f
1920,630m,4054f
1921,631m,5298f
1922,633m,3956f
1923,6356m,6373f
1924,636m,3315f
1925,6408m,6243f
1926,6411m,6053f
1927,6418m,745f
1928,6419m,1107f
1929,6420m,274f
1930,6421m,1223f
1931,6422m,4582f
1932,6422m,3186f
1933,6423m,3245f
1934,6424m,5370f
1935,6425m,1940f
1936,6427m,6833f
1937,643m,2467f
1938,645m,4623f
1939,64m,4982f
1940,651m,2785f
1941,6531m,2913f
1942,6532m,3596f
1943,6533m,1307f
1944,6534m,6552f
1945,6535m,3386f
1946,6536m,1290f
1947,6537m,1491f
1948,6538m,5382f
1949,6541m,1614f
1950,654m,5576f
1951,656m,2221f
1952,662m,3957f
1953,6636m,6317f
1954,6637m,3164f
1955,6638m,5578f
1956,663m,2927f
1957,664m,1545f
1958,665m,2422f
1959,667m,86f
1960,669m,4137f
1961,669m,5581f
1962,6726m,3425f
1963,6727m,792f
1964,6728m,4692f
1965,6729m,6834f
1966,673m,3947f
1967,679m,5303f
1968,680m,2276f
1969,681m,3215f
1970,6823m,5275f
1971,6827m,5425f
1972,682m,1733f
1973,689m,255f
1974,6911m,2615f
1975,6912m,1486f
1976,6918m,1750f
1977,691m,7402f
1978,697m,2154f
1979,69m,3681f
1980,7011m,3356f
1981,7012m,3111f
1982,7014m,1246f
1983,7016m,4586f
1984,7017m,1759f
1985,701m,432f
1986,702m,3805f
1987,705m,6321f
1988,7112m,5995f
1989,7113m,568f
1990,7113m,4599f
1991,7114m,1983f
1992,7115m,4573f
1993,711m,206f
1994,713m,3807f
1995,715m,183f
1996,720m,1937f
1997,7211m,7694f
1998,7212m,1166f
1999,724m,4792f
2000,726m,2644f
2001,7298m,5921f
2002,7299m,2839f
2003,7300m,351f
2004,7303m,1899f
2005,731m,176f
2006,732m,3051f
2007,734m,4407f
2008,737m,2896f
2009,7382m,2074f
2010,7383m,5677f
2011,7384m,3984f
2012,7385m,4430f
2013,7386m,7408f
2014,7387m,36f
2015,7389m,5386f
2016,738m,3372f
2017,738m,1530f
2018,739m,1374f
2019,73m,1903f
2020,740m,4776f
2021,744m,5373f
2022,7485m,4612f
2023,7486m,7399f
2024,7487m,7400f
2025,7488m,6555f
2026,7490m,3496f
2027,7491m,4395f
2028,749m,2146f
2029,750m,3461f
2030,7576m,7695f
2031,7577m,3251f
2032,7578m,7595f
2033,7579m,5650f
2034,7580m,857f
2035,7582m,4652f
2036,75m,911f
2037,7679m,6071f
2038,767m,4838f
2039,7680m,5714f
2040,7681m,2844f
2041,7682m,2215f
2042,7683m,7698f
2043,770m,3434f
2044,776m,3729f
2045,7771m,6282f
2046,7772m,2529f
2047,7773m,5836f
2048,7774m,5829f
2049,7775m,5803f
2050,7776m,7796f
2051,7777m,5791f
2052,7778m,4451f
2053,7779m,644f
2054,7780m,1865f
2055,7781m,4232f
2056,778m,647f
2057,784m,3901f
2058,786m,2325f
2059,787m,1617f
2060,7885m,7903f
2061,788m,3257f
2062,790m,4312f
2063,793m,2548f
2064,796m,2296f
2065,800m,268f
2066,801m,2485f
2067,814m,1094f
2068,820m,3069f
2069,822m,1799f
2070,823m,3794f
2071,824m,2113f
2072,826m,743f
2073,829m,1959f
2074,82m,1031f
2075,831m,2853f
2076,837m,2380f
2077,841m,2566f
2078,842m,2007f
2079,844m,3430f
2080,84m,1915f
2081,855m,4247f
2082,859m,3190f
2083,863m,2818f
2084,864m,3881f
2085,871m,3447f
2086,871m,7502f
2087,874m,2946f
2088,876m,7122f
2089,880m,832f
2090,881m,5568f
2091,885m,1573f
2092,888m,2371f
2093,890m,304f
2094,891m,810f
2095,893m,3634f
2096,899m,4342f
2097,901m,3754f
2098,903m,1328f
2099,906m,4426f
2100,907m,718f
2101,916m,2248f
2102,917m,3496f
2103,917m,462f
2104,919m,1267f
2105,921m,4810f
2106,924m,2071f
2107,927m,3558f
2108,929m,2026f
2109,932m,3488f
2110,939m,1609f
2111,93m,1889f
2112,941m,247f
2113,942m,4570f
2114,945m,6327f
2115,947m,2840f
2116,948m,672f
2117,950m,1760f
2118,957m,1251f
2119,960m,4936f
2120,963m,3045f
2121,966m,3612f
2122,968m,1340f
2123,971m,3058f
2124,973m,1403f
2125,979m,1387f
2126,985m,4962f
2127,990m,5511f
2128,991m,5293f
2129,993m,110f
2130,995m,1065f
2131,998m,1749f
2132,9m,594f
,source,target
0,0m,4339f
1,1005m,3875f
2,1007m,3679f
3,1008m,964f
4,100m,2790f
5,1013m,2992f
6,1014m,3503f
7,1018m,1582f
8,1027m,3131f
9,1030m,2257f
10,1032m,1686f
11,1037m,1714f
12,103m,2324f
13,1040m,1025f
14,1041m,3502f
15,1061m,5211f
16,1064m,5321f
17,1065m,2696f
18,1066m,3865f
19,106m,374f
20,1082m,2177f
21,1085m,2548f
22,1087m,3965f
23,1088m,2013f
24,1093m,2476f
25,1094m,938f
26,1096m,3203f
27,1096m,393f
28,1103m,2336f
29,1107m,265f
30,1114m,1332f
31,1117m,2433f
32,111m,1578f
33,1126m,1320f
34,1132m,3818f
35,1137m,859f
36,1146m,1917f
37,1158m,3604f
38,1161m,3133f
39,1167m,1147f
40,1170m,4872f
41,1171m,2920f
42,1172m,4678f
43,1180m,3570f
44,1182m,4155f
45,1183m,5281f
46,1187m,4814f
47,1199m,1873f
48,1199m,3549f
49,1199m,5341f
50,1200m,945f
51,1203m,2328f
52,1213m,4333f
53,1214m,5235f
54,1216m,4545f
55,1220m,4595f
56,1221m,769f
57,1222m,579f
58,1224m,2669f
59,1228m,5219f
60,1230m,3856f
61,1234m,3442f
62,1241m,1684f
63,1242m,5271f
64,1246m,1141f
65,1248m,5658f
66,124m,3352f
67,1250m,2477f
68,1252m,3375f
69,1256m,4502f
70,1257m,1975f
71,1264m,2576f
72,1268m,3639f
73,126m,5300f
74,1270m,179f
75,1272m,2709f
76,1273m,3236f
77,1278m,4711f
78,1281m,473f
79,1284m,3255f
80,1285m,976f
81,1292m,1424f
82,129m,4119f
83,1301m,4510f
84,1302m,1344f
85,1308m,4256f
86,1311m,2833f
87,1313m,7f
88,1314m,4771f
89,1319m,4934f
90,1322m,2431f
91,1323m,5660f
92,1325m,3785f
93,1327m,1481f
94,132m,1726f
95,1330m,5248f
96,1331m,5303f
97,1334m,4888f
98,1338m,2986f
99,133m,948f
100,1340m,4269f
101,1346m,1206f
102,1353m,5064f
103,1354m,1067f
104,1355m,3216f
105,135m,4521f
106,1360m,4673f
107,1362m,3966f
108,1363m,353f
109,1365m,1798f
110,1366m,1185f
111,136m,2948f
112,1372m,1835f
113,1379m,2929f
114,137m,4852f
115,1380m,644f
116,1381m,415f
117,1385m,6878f
118,1386m,1964f
119,1391m,4091f
120,1392m,245f
121,1393m,352f
122,1403m,1263f
123,1408m,5226f
124,1408m,7527f
125,140m,4627f
126,1410m,508f
127,1412m,795f
128,1418m,907f
129,1419m,6294f
130,1421m,2937f
131,1423m,3224f
132,1428m,3504f
133,1429m,59f
134,142m,640f
135,1438m,283f
136,1440m,1312f
137,1444m,4636f
138,1447m,2757f
139,1449m,4345f
140,144m,7330f
141,1451m,1989f
142,1453m,1574f
143,1461m,586f
144,1466m,5225f
145,1467m,250f
146,1468m,2635f
147,1472m,2252f
148,1473m,1908f
149,1475m,4462f
150,1477m,2326f
151,1478m,1629f
152,1479m,2068f
153,1485m,6f
154,1489m,1955f
155,1490m,1826f
156,1491m,4399f
157,1495m,3948f
158,1498m,2056f
159,149m,7524f
160,1501m,4023f
161,1504m,1469f
162,1505m,2698f
163,1508m,3235f
164,1509m,504f
165,1513m,5234f
166,1516m,150f
167,1517m,4035f
168,1524m,2567f
169,1528m,3315f
170,1531m,2954f
171,1532m,3145f
172,1536m,4431f
173,1540m,1682f
174,1543m,14f
175,1547m,2878f
176,1548m,3120f
177,154m,4370f
178,1555m,2729f
179,1564m,2028f
180,1568m,2792f
181,156m,1193f
182,1571m,941f
183,1581m,540f
184,1585m,3860f
185,1592m,3617f
186,1593m,1583f
187,1595m,826f
188,15m,1130f
189,1600m,5639f
190,1601m,4071f
191,1602m,79f
192,1609m,2727f
193,160m,3820f
194,1611m,2867f
195,1611m,970f
196,1612m,2450f
197,1613m,1204f
198,1614m,1400f
199,1616m,3294f
200,1617m,2891f
201,1618m,2098f
202,1619m,2861f
203,1622m,3477f
204,1624m,5257f
205,1628m,86f
206,1630m,3764f
207,1631m,2934f
208,1635m,2932f
209,1641m,1579f
210,1649m,5328f
211,164m,801f
212,1652m,3537f
213,165m,3418f
214,1661m,575f
215,1665m,328f
216,1666m,299f
217,1670m,3568f
218,1671m,1821f
219,1673m,3074f
220,1679m,4649f
221,1680m,2517f
222,1692m,669f
223,1695m,99f
224,1698m,2364f
225,1698m,2435f
226,169m,1163f
227,16m,936f
228,1700m,5252f
229,1709m,2993f
230,1711m,3296f
231,1713m,4765f
232,1718m,3722f
233,1724m,1401f
234,1724m,7332f
235,1727m,2762f
236,1730m,201f
237,1733m,333f
238,1743m,2496f
239,1745m,1608f
240,174m,660f
241,1751m,4582f
242,1756m,853f
243,1757m,6288f
244,1758m,4816f
245,1760m,1335f
246,1765m,5264f
247,1767m,3068f
248,1768m,6502f
249,1770m,3044f
250,1772m,1558f
251,1783m,2997f
252,178m,4334f
253,1794m,624f
254,1795m,3686f
255,1796m,3770f
256,1799m,1343f
257,1806m,1374f
258,1807m,1208f
259,1810m,403f
260,1815m,65f
261,1817m,47f
262,1818m,1834f
263,183m,4690f
264,1840m,3193f
265,1844m,7055f
266,1846m,3938f
267,1848m,1660f
268,184m,4733f
269,1854m,565f
270,1855m,3998f
271,1856m,7233f
272,1857m,2244f
273,1860m,1460f
274,1861m,7141f
275,1866m,2216f
276,1866m,1297f
277,1867m,1153f
278,1868m,3053f
279,1869m,2444f
280,186m,4727f
281,1874m,2639f
282,1877m,4829f
283,187m,5298f
284,1882m,946f
285,1887m,1352f
286,1894m,1828f
287,18m,3248f
288,1901m,4503f
289,1905m,3448f
290,1907m,4676f
291,190m,5243f
292,1910m,2015f
293,1914m,1092f
294,1915m,3346f
295,1918m,2703f
296,191m,2681f
297,1924m,4991f
298,1925m,4851f
299,1931m,4175f
300,1937m,785f
301,1940m,5315f
302,1941m,5480f
303,1942m,1741f
304,1945m,1480f
305,1946m,1154f
306,1947m,1904f
307,1951m,687f
308,1952m,631f
309,1954m,2652f
310,1956m,3940f
311,1959m,5259f
312,1970m,3281f
313,1971m,980f
314,1972m,2391f
315,1973m,2340f
316,1974m,4197f
317,1979m,1786f
318,197m,4419f
319,1986m,1843f
320,1987m,5251f
321,1988m,1849f
322,1991m,3844f
323,1996m,5245f
324,1998m,4970f
325,19m,4137f
326,2000m,454f
327,2002m,6616f
328,2004m,5273f
329,2007m,596f
330,2008m,3273f
331,2009m,1681f
332,2012m,515f
333,2022m,4953f
334,2029m,3528f
335,2034m,4433f
336,2035m,1687f
337,2037m,791f
338,2038m,5050f
339,2044m,2108f
340,2045m,4406f
341,2046m,6005f
342,2048m,1348f
343,2052m,4448f
344,2055m,2409f
345,2061m,57f
346,2063m,6961f
347,2065m,5606f
348,2069m,3935f
349,2070m,492f
350,2071m,3354f
351,2072m,4615f
352,2074m,462f
353,2076m,2553f
354,2078m,3437f
355,2079m,3232f
356,2081m,1716f
357,2081m,3183f
358,2089m,3711f
359,2092m,3573f
360,2094m,3545f
361,2100m,3247f
362,2105m,3239f
363,2112m,5306f
364,2113m,2870f
365,2115m,4184f
366,2120m,5308f
367,2121m,1287f
368,2122m,2721f
369,2123m,1827f
370,2128m,4478f
371,2132m,563f
372,2136m,2350f
373,2138m,1031f
374,213m,1219f
375,2140m,324f
376,2142m,387f
377,2145m,2460f
378,2149m,3745f
379,214m,3555f
380,2158m,168f
381,2161m,246f
382,2162m,267f
383,2164m,3167f
384,2164m,5806f
385,2165m,1535f
386,2168m,818f
387,2170m,4817f
388,2172m,1997f
389,2179m,4029f
390,2182m,1004f
391,2182m,2395f
392,2184m,967f
393,2188m,4124f
394,2189m,4823f
395,2190m,832f
396,2191m,1312f
397,2192m,4901f
398,2194m,4813f
399,2196m,7428f
400,2198m,6003f
401,2199m,5277f
402,2202m,2083f
403,2203m,2475f
404,2208m,2997f
405,2208m,891f
406,2217m,1615f
407,2219m,4547f
408,2221m,2926f
409,2221m,4459f
410,2222m,3483f
411,2224m,1753f
412,2226m,5747f
413,2229m,1577f
414,2231m,66f
415,2232m,3353f
416,2238m,2109f
417,2241m,1503f
418,2249m,3847f
419,2253m,576f
420,2254m,1802f
421,2256m,5921f
422,2259m,176f
423,2261m,4857f
424,2262m,1748f
425,2267m,1938f
426,226m,3953f
427,2275m,3738f
428,2276m,4868f
429,2280m,2690f
430,2284m,1902f
431,2291m,4695f
432,2295m,4387f
433,2297m,4424f
434,22m,4326f
435,2300m,1427f
436,2303m,3292f
437,2303m,1552f
438,2304m,2174f
439,2305m,874f
440,2308m,3f
441,2309m,2465f
442,2309m,180f
443,230m,1657f
444,2310m,1738f
445,2312m,2999f
446,2313m,2975f
447,2314m,2638f
448,2315m,3885f
449,2318m,4260f
450,2321m,219f
451,2325m,2985f
452,2333m,5233f
453,2343m,2299f
454,2347m,3859f
455,234m,862f
456,2351m,2673f
457,2352m,4006f
458,2354m,2446f
459,2356m,875f
460,2358m,3789f
461,2359m,1590f
462,2361m,1254f
463,2366m,6302f
464,2367m,4177f
465,2368m,3228f
466,2369m,3194f
467,2371m,4296f
468,2374m,3778f
469,2375m,437f
470,2377m,3427f
471,2378m,5238f
472,2379m,450f
473,237m,1573f
474,2380m,3668f
475,2382m,3417f
476,2385m,3467f
477,2386m,3369f
478,2388m,4498f
479,2389m,1387f
480,2390m,4703f
481,2392m,3204f
482,2394m,2090f
483,2396m,5627f
484,2398m,5213f
485,2402m,3732f
486,2405m,1000f
487,2410m,4750f
488,2413m,4145f
489,2414m,748f
490,2415m,6299f
491,2417m,1050f
492,2418m,1837f
493,2419m,2066f
494,2424m,3144f
495,2426m,3925f
496,2428m,789f
497,2429m,5f
498,2432m,4694f
499,2434m,3963f
500,2436m,3336f
501,2438m,2829f
502,2440m,965f
503,2441m,1006f
504,2442m,6301f
505,2448m,3443f
506,2449m,7146f
507,2453m,2831f
508,2453m,5066f
509,2455m,2041f
510,2459m,317f
511,2463m,2073f
512,2464m,1249f
513,2466m,5222f
514,2479m,3664f
515,247m,1771f
516,2483m,2383f
517,2484m,4786f
518,2485m,3559f
519,2487m,1980f
520,2488m,216f
521,2489m,4169f
522,248m,6788f
523,2490m,3482f
524,2491m,1211f
525,2492m,3424f
526,2493m,1397f
527,2495m,1729f
528,2499m,2715f
529,2502m,2886f
530,2503m,681f
531,2506m,3723f
532,2507m,2907f
533,2511m,1537f
534,2513m,2016f
535,2516m,3009f
536,2518m,4331f
537,2521m,1131f
538,2526m,1542f
539,2529m,3391f
540,252m,969f
541,2531m,2421f
542,2533m,2445f
543,2540m,2435f
544,2546m,4454f
545,2547m,1422f
546,2551m,3793f
547,2552m,4782f
548,2554m,6006f
549,2554m,2831f
550,2555m,153f
551,2556m,767f
552,2557m,708f
553,2561m,1235f
554,2565m,4107f
555,2568m,5288f
556,2571m,2933f
557,2572m,4845f
558,2572m,1633f
559,2574m,3472f
560,2577m,1350f
561,2578m,7235f
562,257m,524f
563,2580m,2927f
564,2581m,1019f
565,2583m,4529f
566,2587m,758f
567,2589m,295f
568,258m,1333f
569,2591m,4961f
570,2592m,419f
571,2598m,639f
572,259m,3095f
573,2600m,110f
574,2601m,3612f
575,2603m,2242f
576,2604m,3563f
577,2607m,1017f
578,2608m,4728f
579,2609m,1069f
580,2610m,326f
581,2614m,1083f
582,2615m,3557f
583,2617m,2674f
584,2623m,4558f
585,2632m,1898f
586,2634m,3864f
587,2637m,4894f
588,2642m,1895f
589,2644m,4838f
590,2649m,2155f
591,2650m,345f
592,2651m,1958f
593,2655m,3459f
594,2658m,5282f
595,2659m,3663f
596,2660m,2981f
597,2662m,3060f
598,266m,3226f
599,2675m,2027f
600,2676m,1240f
601,2683m,1401f
602,2685m,603f
603,2692m,5294f
604,269m,5265f
605,26m,727f
606,2700m,3288f
607,2708m,2454f
608,2710m,3768f
609,2711m,2452f
610,2717m,7236f
611,2718m,4381f
612,2719m,3615f
613,2723m,5270f
614,2726m,4371f
615,2731m,6408f
616,2731m,1492f
617,2734m,3293f
618,2734m,4000f
619,2736m,1927f
620,2737m,1875f
621,2740m,3049f
622,2741m,2793f
623,2749m,6611f
624,2750m,4451f
625,2753m,1062f
626,2756m,1572f
627,2758m,1226f
628,275m,395f
629,275m,7433f
630,2763m,796f
631,2767m,2195f
